coreData_id,coreData_speed,coreData_accelset_long,coreData_accelset_lat,t,x,y,perReportID,corrupted,peerReported
8777778,4,2,-20,11.9000000000001,-82.4456201,27.9560088,8777778,0,0
8777778,6,5,-17,12.0999999999999,-82.44562,27.956009,8777778,0,0
8777778,3,6,-17,12.2,-82.4456205,27.9560086,8777778,0,0
8777778,3,18,-22,12.5,-82.4456204,27.9560088,8777778,0,0
8777778,3,25,-22,12.5999999999999,-82.4456204,27.9560089,8777778,0,0
8777778,4,44,-27,12.9000000000001,-82.4456204,27.9560081,8777778,0,0
8777778,6,44,-27,13,-82.4456204,27.956008,8777778,0,0
8777778,6,36,-27,13.3,-82.4456203,27.9560079,8777778,0,0
8777778,7,30,-23,13.4000000000001,-82.4456203,27.9560078,8777778,0,0
8777778,7,29,-24,13.5,-82.4456203,27.9560077,8777778,0,0
8777778,9,39,-22,13.8499999999999,-82.4456201,27.9560074,8777778,0,0
8777778,9,37,-24,13.9000000000001,-82.4456201,27.9560073,8777778,0,0
8777778,5,26,-22,14.2,-82.4456202,27.9560075,8777778,0,0
8777778,5,19,-22,14.3499999999999,-82.4456202,27.9560073,8777778,0,0
8777778,5,26,-22,14.5,-82.4456202,27.9560072,8777778,0,0
8777778,9,43,-25,14.799,-82.4456204,27.9560064,8777778,0,0
8777778,11,57,-25,14.9000000000001,-82.4456204,27.9560062,8777778,0,0
8777778,15,76,-28,15.05,-82.4456204,27.9560058,8777778,0,0
8777778,45,181,-36,15.3,-82.4456205,27.9560026,8777778,0,0
8777778,55,230,-38,15.4000000000001,-82.4456205,27.9560017,8777778,0,0
8777778,96,279,-30,15.6990000000001,-82.4456207,27.9559968,8777778,0,0
8777778,108,260,-24,15.8,-82.4456207,27.9559948,8777778,0,0
8777778,124,148,-2,16,-82.445621,27.9559905,8777778,0,0
8777778,130,157,3,16.0999999999999,-82.4456212,27.9559882,8777778,0,0
8777778,147,231,-5,16.2,-82.4456227,27.9559863,8777778,0,0
8777778,177,229,12,16.5,-82.4456243,27.9559775,8777778,0,0
8777778,188,233,19,16.5999999999999,-82.445625,27.9559742,8777778,0,0
8777778,192,239,22,16.6990000000001,-82.4456269,27.9559724,8777778,0,0
8777778,224,234,66,17,-82.4456303,27.9559614,8777778,0,0
8777778,234,212,78,17.0999999999999,-82.4456318,27.9559574,8777778,0,0
8777778,235,153,109,17.3,-82.4456361,27.9559517,8777778,0,0
8777778,242,117,116,17.4000000000001,-82.4456381,27.9559477,8777778,0,0
8777778,245,69,122,17.5,-82.4456402,27.9559438,8777778,0,0
8777778,259,82,145,17.6990000000001,-82.4456463,27.9559364,8777778,0,0
8777778,273,60,180,18,-82.4456555,27.9559243,8777778,0,0
8777778,276,49,177,18.0999999999999,-82.4456589,27.9559204,8777778,0,0
8777778,271,43,167,18.2,-82.4456626,27.9559187,8777778,0,0
8777778,285,90,262,18.5,-82.4456748,27.9559081,8777778,0,0
8777778,289,84,234,18.5999999999999,-82.4456793,27.9559048,8777778,0,0
8777778,298,66,180,18.8,-82.44569,27.9559001,8777778,0,0
8777778,301,73,239,18.9000000000001,-82.4456952,27.9558973,8777778,0,0
8777778,306,105,275,19,-82.4457007,27.9558947,8777778,0,0
8777778,317,116,266,19.2,-82.4457122,27.9558913,8777778,0,0
8777778,320,116,266,19.249,-82.4457152,27.9558903,8777778,0,0
8777778,327,101,214,19.4000000000001,-82.4457246,27.9558876,8777778,0,0
8777778,333,79,234,19.6990000000001,-82.4457426,27.9558843,8777778,0,0
8777778,337,68,209,19.8,-82.4457494,27.9558835,8777778,0,0
8777778,356,132,-11,20.2,-82.4457761,27.9558794,8777778,0,0
8777778,360,84,49,20.3,-82.4457834,27.9558791,8777778,0,0
8777778,368,51,106,20.5,-82.4457982,27.9558787,8777778,0,0
8777778,367,-20,98,20.5999999999999,-82.4458057,27.9558787,8777778,0,0
8777778,357,59,223,20.6990000000001,-82.4458094,27.9558755,8777778,0,0
8777778,347,19,44,21.2,-82.4458434,27.9558752,8777778,0,0
8777778,349,49,84,21.3,-82.4458505,27.9558754,8777778,0,0
8777778,350,44,-35,21.6990000000001,-82.4458781,27.9558749,8777778,0,0
8777778,353,49,-59,21.8,-82.4458853,27.9558752,8777778,0,0
8777778,365,136,20,22,-82.4458999,27.9558756,8777778,0,0
8777778,370,94,-85,22.0999999999999,-82.4459074,27.9558758,8777778,0,0
8777778,1109,87,126,22.2,-82.4485646,27.9547406,8777778,0,0
8777778,380,119,-30,22.2,-82.4459164,27.9558745,8777778,0,0
8777778,391,70,-135,22.5,-82.4459401,27.9558745,8777778,0,0
8777778,398,120,-47,22.5999999999999,-82.4459482,27.9558745,8777778,0,0
8777778,404,81,-28,22.9000000000001,-82.4459727,27.9558749,8777778,0,0
8777778,409,110,88,23,-82.445981,27.9558749,8777778,0,0
8777778,414,114,-34,23.0999999999999,-82.4459894,27.9558749,8777778,0,0
8777778,401,26,-81,23.4000000000001,-82.446012,27.9558746,8777778,0,0
8777778,403,79,-124,23.5,-82.4460202,27.9558744,8777778,0,0
8777778,425,30,-121,23.6990000000001,-82.446041,27.9558739,8777778,0,0
8777778,431,11,14,23.9000000000001,-82.4460584,27.9558733,8777778,0,0
8777778,432,40,34,24.0999999999999,-82.446076,27.9558728,8777778,0,0
8777778,439,-19,-81,24.5999999999999,-82.446122,27.9558726,8777778,0,0
8777778,1154,87,91,24.6990000000001,-82.4481613,27.9550972,8777778,0,0
8777778,435,-13,-103,24.6990000000001,-82.4461298,27.9558731,8777778,0,0
8777778,436,30,-38,24.8,-82.4461387,27.9558729,8777778,0,0
8777778,433,-48,-147,24.95,-82.4461519,27.9558725,8777778,0,0
8777778,427,-147,-302,25.1500000000001,-82.4461694,27.9558717,8777778,0,0
8777778,1167,97,160,25.4000000000001,-82.4480314,27.9551855,8777778,0,0
8777778,388,90,79,25.55,-82.4461961,27.9558674,8777778,0,0
8777778,1174,100,150,25.6990000000001,-82.4479727,27.9552207,8777778,0,0
8777778,364,-57,-153,25.8499999999999,-82.4462223,27.9558634,8777778,0,0
8777778,348,-213,-125,26.249,-82.4462557,27.9558613,8777778,0,0
8777778,398,7,-10,26.749,-82.4463023,27.9558545,8777778,0,0
8777778,398,23,-49,26.9000000000001,-82.4463142,27.9558525,8777778,0,0
8777778,399,2,17,27.1500000000001,-82.4463341,27.9558491,8777778,0,0
8777778,377,-47,-51,27.249,-82.4463397,27.9558486,8777778,0,0
8777778,377,38,45,27.3499999999999,-82.4463472,27.9558473,8777778,0,0
8777778,400,-40,-151,29.5,-82.4465159,27.9558124,8777778,0,0
8777778,370,-89,-171,29.95,-82.4465445,27.9558038,8777778,0,0
8777778,322,-19,-208,32.5999999999999,-82.446697,27.9557165,8777778,0,0
8777778,361,26,-315,33.749,-82.4467364,27.9556528,8777778,0,0
8777778,364,35,-240,33.8499999999999,-82.4467387,27.9556464,8777778,0,0
8777778,367,25,-271,34.3499999999999,-82.4467474,27.9556153,8777778,0,0
8777778,371,14,-265,34.5,-82.446749,27.9556054,8777778,0,0
8777778,371,28,-260,34.5,-82.446749,27.9556054,8777778,0,0
8777778,405,27,-217,35.05,-82.4467542,27.9555645,8777778,0,0
8777778,402,-47,-156,35.2,-82.446755,27.9555536,8777778,0,0
8777778,422,93,-168,35.5999999999999,-82.4467538,27.9555238,8777778,0,0
8777778,478,45,-1,37.749,-82.4467572,27.9553412,8777778,0,0
8777778,481,57,13,37.8499999999999,-82.4467575,27.9553326,8777778,0,0
8777778,491,27,-4,38.1500000000001,-82.4467582,27.9553062,8777778,0,0
8777778,484,24,-16,38.55,-82.4467586,27.9552738,8777778,0,0
8777778,482,13,-15,38.749,-82.4467594,27.9552572,8777778,0,0
8777778,486,32,-4,39.3,-82.4467614,27.9552095,8777778,0,0
8777778,488,32,-3,39.3499999999999,-82.4467615,27.9552051,8777778,0,0
8777778,491,-25,-114,39.55,-82.4467623,27.9551874,8777778,0,0
8777778,481,73,-54,39.95,-82.4467632,27.9551538,8777778,0,0
8777778,484,43,-36,40.05,-82.4467635,27.9551451,8777778,0,0
8777778,480,-36,-76,40.25,-82.4467634,27.9551271,8777778,0,0
8664210,370,66,106,51.0000012,-82.4469218,27.9543992,8664210,0,0
8664210,373,112,52,51.1000012,-82.4469287,27.9543964,8664210,0,0
8664210,377,108,44,51.2000012000001,-82.4469357,27.9543937,8664210,0,0
8664210,389,110,1,51.6000012,-82.4469617,27.9543804,8664210,0,0
8664210,390,33,-31,51.7000012000001,-82.4469689,27.9543775,8664210,0,0
8664210,417,176,102,51.8990011999999,-82.446984,27.9543686,8664210,0,0
8664210,421,71,-39,52.0000012,-82.4469917,27.9543653,8664210,0,0
8664210,426,77,1,52.2500012,-82.447011,27.9543567,8664210,0,0
8664210,424,78,-15,52.5000012,-82.447027,27.9543481,8664210,0,0
8664210,427,79,8,52.6000012,-82.4470346,27.9543445,8664210,0,0
8664210,432,82,-12,53.0000012,-82.4470651,27.9543307,8664210,0,0
8664210,436,89,-6,53.1500012000001,-82.4470768,27.9543251,8664210,0,0
8664210,439,80,1,53.2500012,-82.4470847,27.9543214,8664210,0,0
8664210,442,87,8,53.3500012,-82.4470926,27.9543176,8664210,0,0
8664210,465,48,-34,53.8500012,-82.4471351,27.9542976,8664210,0,0
8664210,465,100,-71,54.1500012000001,-82.4471593,27.9542865,8664210,0,0
8664210,467,89,-57,54.2000012000001,-82.4471635,27.9542844,8664210,0,0
8664210,476,72,-51,54.5500012,-82.447194,27.95427,8664210,0,0
8664210,490,54,-49,54.9490012000001,-82.4472294,27.9542525,8664210,0,0
8965636,495.000985430899,61.0000005416696,-6.00001335846365,55.0000008,-82.4472908690157,27.9542077809416,8965636,1,0
8664210,492,28,-32,55.1500012000001,-82.4472469,27.9542438,8664210,0,0
8965636,503.999383390341,58.9999986120376,-35.9999974558021,55.4000008,-82.4473618984486,27.9541525786672,8965636,1,0
8965636,511.999343857064,5.00001484129182,-46.9999917001369,55.7000008,-82.4472714022975,27.9542003905522,8965636,1,0
8965636,512.999764136531,31.00001121909,-35.0000020448847,55.8000007999999,-82.447394927697,27.9541948292428,8965636,1,0
8664210,506,59,-7,55.8500012,-82.4473099,27.9542126,8664210,0,0
8965636,513.000875593858,31.9999543116673,-42.0000138466676,55.9000008,-82.4473822778799,27.954183452586,8965636,1,0
8664210,512,50,-55,55.9490012000001,-82.4473198,27.9542082,8664210,0,0
8664210,512,5,-47,56.0500012,-82.4473289,27.9542036,8664210,0,0
8664210,513,31,-35,56.1500012000001,-82.4473379,27.954199,8664210,0,0
8664210,513,32,-42,56.2500012,-82.447347,27.9541945,8664210,0,0
8965636,493.998865714355,-23.9999951537467,-21.0000081108823,56.3000007999999,-82.4473824214973,27.9542030683376,8965636,1,0
8664210,513,3,-29,56.3500012,-82.4473561,27.9541899,8664210,0,0
8965636,493.99878978783,15.9999632660456,6.00000829049338,56.4000008,-82.4475348676977,27.9541727596343,8965636,1,0
8664210,499,-30,-29,56.4000012000001,-82.4473595,27.9541885,8664210,0,0
8965636,492.999665063846,-3.00001301849463,6.99999927257814,56.4500008,-82.44745812145,27.9541901610668,8965636,1,0
8664210,496,-39,-11,56.5500012,-82.4473727,27.9541819,8664210,0,0
8965636,498.999695052773,-22.9999961192719,-20.9999959401452,56.5990007999999,-82.4474069338755,27.9541848722606,8965636,1,0
8664210,494,-24,-21,56.6500012000001,-82.4473814,27.9541775,8664210,0,0
8965636,497.000794639958,-11.9999648849827,-5.99999670067399,56.7000008,-82.4474761162059,27.9541667756868,8965636,1,0
8664210,494,16,6,56.7500012,-82.4473901,27.9541731,8664210,0,0
8965636,496.001240546654,-13.9999829171285,-40.9999920325869,56.8000007999999,-82.4474806764261,27.9541300390336,8965636,1,0
8965636,493.998771962101,-19.9999901976743,-12.9999898593612,56.9000008,-82.4475746648062,27.9541663462653,8965636,1,0
8965636,497.997806969151,-26.0000523080787,-28.9999953226389,57.0500007999999,-82.4473356171985,27.9541315952814,8965636,1,0
8965636,494.998191337403,-35.9999959182833,-7.99999413988749,57.2000008,-82.4475235056287,27.9540963651116,8965636,1,0
8965636,493.998620251977,-26.9999568937565,-15.9999961099519,57.2500008,-82.4474845005069,27.9541619280128,8965636,1,0
8965636,492.998515348155,-9.00007775455572,-20.000012127098,57.4000008,-82.4474062583751,27.9541964821354,8965636,1,0
8965636,488.999899221802,-2.9999830140776,-44.9999901740905,57.4990008,-82.4473523701125,27.9541013673113,8965636,1,0
8965636,487.999524912867,-21.0000904094279,-23.9999889001339,57.6000007999999,-82.4474242476164,27.9541197510513,8965636,1,0
8965636,487.001848122901,-27.0000112044913,-19.9999965135091,57.6500008,-82.4474941037366,27.9541515508214,8965636,1,0
8965636,483.000849878143,-21.999985363635,-15.0000025391435,57.8000007999999,-82.4475485792553,27.9540510111684,8965636,1,0
8965636,481.999969998775,-6.000062693194,-6.00000601574919,57.9000008,-82.4475789563921,27.9540525139531,8965636,1,0
8965636,478.998573653126,-5.9999720892238,-8.00001657572144,57.9990008,-82.4475051364218,27.9540946059219,8965636,1,0
8664210,487,-27,-20,58.0000012,-82.447502,27.9541171,8664210,0,0
8965636,477.000180775092,-30.9999925303577,-3.99999968516293,58.1000007999999,-82.4475206368605,27.9541263881851,8965636,1,0
8965636,476.00039877578,-19.9999647652949,-10.9999935674635,58.1500008,-82.4475995647123,27.9541897031858,8965636,1,0
8664210,483,-22,-15,58.1500012000001,-82.4475149,27.9541106,8664210,0,0
8664210,482,-6,-6,58.2500012,-82.4475234,27.9541063,8664210,0,0
8965636,474.000511913739,-24.9999821074261,-57.9999898265364,58.3000007999999,-82.4476250326961,27.954178403707,8965636,1,0
8664210,479,-6,-8,58.3490012,-82.4475313,27.9541015,8664210,0,0
8965636,471.999576712101,-20.000016388436,-10.0000013299543,58.4000008,-82.4476639147863,27.9541127186662,8965636,1,0
8965636,472.998846664901,-29.9999880304571,-24.0000051123559,58.4990008,-82.4474169111475,27.9540982216103,8965636,1,0
8965636,472.001805415225,-23.0000007386596,-42.9999817737082,58.6000007999999,-82.4474821515042,27.9540600022365,8965636,1,0
8664210,474,-25,-58,58.6500012000001,-82.4475565,27.9540886,8664210,0,0
8965636,469.999367196836,-19.0000694076088,-6.99998186679862,58.7000008,-82.4476135902426,27.9540219719346,8965636,1,0
8965636,469.000050014322,-12.9999875641175,-34.9999746592818,58.8000007999999,-82.4476849706935,27.9540648689739,8965636,1,0
8664210,473,-30,-24,58.8490012,-82.4475734,27.9540803,8664210,0,0
8965636,468.000798546433,-20.9999875845547,-38.00000992929,58.9000008,-82.4475327498379,27.9540683836422,8965636,1,0
8664210,472,-23,-43,58.9500012000001,-82.4475817,27.954076,8664210,0,0
8664210,472.000030352523,-22.99998440445,-43.0000136012168,58.9500012000001,-82.4475577858599,27.9540787352796,8965636,1,1
8965636,468.999116224107,-19.9999958516321,-56.9999982774282,58.9990008,-82.4475778135914,27.9541054243767,8965636,1,0
8965636,469,-20,-57,58.9990008,-82.4476154,27.9540591,8664210,0,1
8965636,467.001883339711,-20.0000043468199,-56.9999958785525,59.1000007999999,-82.4476181510702,27.9540580136251,8965636,1,0
8965636,467,-20,-57,59.1000007999999,-82.4476237,27.9540549,8664210,0,1
8664210,469,-13,-35,59.1500012000001,-82.4475983,27.9540676,8664210,0,0
8664210,468.996791471623,-13.0000987297403,-34.9999927430755,59.1500012000001,-82.4475609693245,27.9541123782845,8965636,1,1
8965636,466.000541641399,-6.99994309288285,-19.000005210412,59.2000008,-82.4476943532112,27.954072228069,8965636,1,0
8965636,466,-7,-19,59.2000008,-82.4476319,27.9540507,8664210,0,1
8664210,469,-20,-57,59.3490012,-82.4476154,27.9540591,8664210,0,0
